City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,ola,59.5833,151.2833,14.12,69,100,1.68,RU,1721513757
316,helena,46.5927,-112.0361,36.31,20,0,5.66,US,1721513758
317,luena,-11.7833,19.9167,13.41,26,2,1.66,AO,1721513761
318,bor,56.3567,44.0669,16.96,93,100,1.71,RU,1721513762
319,varva,50.495,32.7197,17.57,63,9,2.26,UA,1721513763
320,seydi,39.4816,62.9137,28.6,23,0,4.43,TM,1721513764
321,rong kwang,18.339,100.3174,26.36,99,100,1.18,TH,1721513765
322,chokwe,-24.5333,32.9833,17.86,94,28,1.89,MZ,1721513767
323,leninskoye,41.7589,69.3864,22.48,34,0,3.93,KZ,1721513768
324,pimenta bueno,-11.6725,-61.1936,28.25,30,5,0.84,BR,1721513769
325,minas de marcona,-15.2119,-75.1103,12.21,71,33,6.74,PE,1721513770
326,nova sintra,14.8667,-24.7167,25.77,85,12,3.76,CV,1721513771
327,merelani,-3.5618,36.979,17.95,77,24,0.85,TZ,1721513773
328,mejit,10.2753,170.8646,27.86,81,20,6.62,MH,1721513774
329,lihue,21.9789,-159.3672,27.77,66,40,5.14,US,1721513775
330,hafar al-batin,28.4328,45.9708,35.32,10,0,0.0,SA,1721513776
331,beidao,34.5686,105.8933,22.17,85,74,1.24,CN,1721513777
332,dawson creek,55.7666,-120.2362,29.8,26,0,2.06,CA,1721513680
333,veraval,20.9,70.3667,27.89,90,99,6.82,IN,1721513780
334,fernley,39.608,-119.2518,39.6,14,1,4.47,US,1721513493
335,puerto baquerizo moreno,-0.9,-89.6,21.55,83,100,6.17,EC,1721513782
336,port macquarie,-31.4333,152.9167,13.83,45,0,1.79,AU,1721513783
337,robore,-18.3333,-59.75,25.83,23,0,1.7,BO,1721513784
338,tofol,5.3248,163.0078,28.49,78,61,6.85,FM,1721513785
339,polyarnyy,69.1989,33.4478,12.19,81,64,2.43,RU,1721513786
340,pisco,-13.7,-76.2167,17.03,77,0,9.77,PE,1721513788
341,hilo,19.7297,-155.09,28.85,77,20,5.14,US,1721513578
342,santa cruz,-17.8,-63.1667,26.03,44,0,3.6,BO,1721513790
343,kuta,-8.7233,115.1723,25.97,78,20,7.2,ID,1721513791
344,mar del plata,-38.0023,-57.5575,8.3,88,75,5.36,AR,1721513792
